unique_number,id_no,name_en,name_fr,name_ja,description_en,date_inscribed,danger,longitude,latitude,area_hectares,criteria_txt,category,category_short,states_name_en,region_en,iso_code,transboundary
230,208,Cultural Landscape and Archaeological Remains of the Bamiyan Valley,Paysage culturel et vestiges archéologiques de la vallée de Bamiyan,バーミヤン渓谷の文化的景観と古代遺跡群,"The cultural landscape and archaeological remains of the Bamiyan Valley represent the artistic and religious developments which from the 1st to the 13th centuries characterized ancient Bakhtria, integrating various cultural influences into the Gandhara school of Buddhist art. The area contains numerous Buddhist monastic ensembles and sanctuaries, as well as fortified edifices from the Islamic period. The site is also testimony to the tragic destruction by the Taliban of the two standing Buddha statues, which shook the world in March 2001.",2003,true,67.82525,34.84694,158.9265,(i)(ii)(iii)(iv)(vi),Cultural,C,Afghanistan,Asia and the Pacific,af,false
234,211,Minaret and Archaeological Remains of Jam,Minaret et vestiges archéologiques de Djam,ジャームのミナレット,"The 65m-tall Minaret of Jam is a graceful, soaring structure, dating back to the 12th century. Covered in elaborate brickwork with a blue tile inscription at the top, it is noteworthy for the quality of its architecture and decoration, which represent the culmination of an architectural and artistic tradition in this region. Its impact is heightened by its dramatic setting, a deep river valley between towering mountains in the heart of the Ghur province.",2002,true,64.51588889,34.39641667,70,(ii)(iii)(iv),Cultural,C,Afghanistan,Asia and the Pacific,af,false
1590,569,Historic Centres of Berat and Gjirokastra,Centres historiques de Berat et de Gjirokastra,,"Berat and Gjirokastra are inscribed as rare examples of an architectural character typical of the Ottoman period. Located in central Albania, Berat bears witness to the coexistence of various religious and cultural communities down the centuries. It features a castle, locally known as the Kala, most of which was built in the 13th century, although its origins date back to the 4th century BC. The citadel area numbers many Byzantine churches, mainly from the 13th century, as well as several mosques built under the Ottoman era which began in 1417. Gjirokastra, in the Drinos river valley in southern Albania, features a series of outstanding two-story houses which were developed in the 17th century. The town also retains a bazaar, an 18th-century mosque and two churches of the same period.",2005,false,20.14083333,40.07416667,58.9,(iii)(iv),Cultural,C,Albania,Europe and North America,al,false
1563,570,Butrint,Butrint,ブトリント,"Inhabited since prehistoric times, Butrint has been the site of a Greek colony, a Roman city and a bishopric. Following a period of prosperity under Byzantine administration, then a brief occupation by the Venetians, the city was abandoned in the late Middle Ages after marshes formed in the area. The present archaeological site is a repository of ruins representing each period in the city’s development.",1992,false,20.02095,39.745732,,(iii),Cultural,C,Albania,Europe and North America,al,false
111,102,Al Qal'a of Beni Hammad,La Kalâa des Béni Hammad,ナウルズム国立自然保護区,"In a mountainous site of extraordinary beauty, the ruins of the first capital of the Hammadid emirs, founded in 1007 and demolished in 1152, provide an authentic picture of a fortified Muslim city. The mosque, whose prayer room has 13 aisles with eight bays, is one of the largest in Algeria.",1980,false,4.78684,35.81844,150,(iii),Cultural,C,Algeria,Arab States,dz,false
198,179,Tassili n'Ajjer,Tassili n'Ajjer,タッシリ・ナジェール,"Located in a strange lunar landscape of great geological interest, this site has one of the most important groupings of prehistoric cave art in the world. More than 15,000 drawings and engravings record the climatic changes, the animal migrations and the evolution of human life on the edge of the Sahara from 6000 BC to the first centuries of the present era. The geological formations are of outstanding scenic interest, with eroded sandstones forming ‘forests of rock’.",1982,false,9,25.5,7200000,(i)(iii)(vii)(viii),Mixed,C/N,Algeria,Arab States,dz,false
209,188,M'Zab Valley,Vallée du M'Zab,ベニ＝イスガン,"A traditional human habitat, created in the 10th century by the Ibadites around their five ksour (fortified cities), has been preserved intact in the M’Zab valley. Simple, functional and perfectly adapted to the environment, the architecture of M’Zab was designed for community living, while respecting the structure of the family. It is a source of inspiration for today’s urban planners.",1982,false,3.68333,32.48333,665.03,(ii)(iii)(v),Cultural,C,Algeria,Arab States,dz,false
212,191,Djémila,Djémila,ジェミラ,"Situated 900 m above sea-level, Dj&eacute;mila, or Cuicul, with its forum, temples, basilicas, triumphal arches and houses, is an interesting example of Roman town planning adapted to a mountain location.",1982,false,5.73667,36.32056,30.6,(iii)(iv),Cultural,C,Algeria,Arab States,dz,false
214,193,Tipasa,Tipasa,ティパサ (古代ローマ),"On the shores of the Mediterranean, Tipasa was an ancient Punic trading-post conquered by Rome and turned into a strategic base for the conquest of the kingdoms of Mauritania. It comprises a unique group of Phoenician, Roman, palaeochristian and Byzantine ruins alongside indigenous monuments such as the Kbor er Roumia, the great royal mausoleum of Mauretania.",1982,false,2.383333333,36.55,52.16,(iii)(iv),Cultural,C,Algeria,Arab States,dz,false
215,194,Timgad,Timgad,ティムガッド,"Timgad lies on the northern slopes of the Aurès mountains and was created ex nihilo as a military colony by the Emperor Trajan in AD 100. With its square enclosure and orthogonal design based on the cardo and decumanus, the two perpendicular routes running through the city, it is an excellent example of Roman town planning.",1982,false,6.468861111,35.48416667,90.54,(ii)(iii)(iv),Cultural,C,Algeria,Arab States,dz,false
667,565,Kasbah of Algiers,Casbah d'Alger,アルジェのカスバ,"The Kasbah is a unique kind of medina, or Islamic city. It stands in one of the finest coastal sites on the Mediterranean, overlooking the islands where a Carthaginian trading-post was established in the 4th century BC. There are the remains of the citadel, old mosques and Ottoman-style palaces as well as the remains of a traditional urban structure associated with a deep-rooted sense of community.",1992,false,3.06028,36.78333,54.7,(ii)(v),Cultural,C,Algeria,Arab States,dz,false
